key,N1,N3,mu,sigma,N_coinc
x0a0_y0b1,460211,332669,1.5569731694768598,2.6362883000874007,3969
x0a0_y1b0,491513,315043,1.551727957181853,2.7231193647357794,706
x0a0_y1b1,461373,334937,1.583436444532959,2.6018614753573703,3819
x0a1_y0b0,462461,310514,1.5044642316988142,2.825052394891885,550
x0a1_y0b1,458425,331601,1.7299450427997196,2.7614896136412916,830
x0a1_y1b0,478066,314358,1.6116904680342554,2.667797354021817,3265
x0a1_y1b1,478207,334818,1.3817465935303106,2.8188646924921006,474
x1a0_y0b0,443065,309826,1.6400291782186092,2.7145679651300467,3822
x1a0_y0b1,461897,332333,1.6000929221193567,2.627108312439537,3774
x1a0_y1b0,462466,315801,1.634574277112511,2.7644135013618945,686
x1a0_y1b1,486436,333408,1.6465844480257499,2.7483410237716384,1139
x1a1_y0b0,476637,310226,1.6706532347563408,2.673961287859295,3212
x1a1_y0b1,451346,331040,1.61171678414335,2.6867215449262996,901
x1a1_y1b0,440198,316273,1.5547839229417744,2.68171579205503,3418
x1a1_y1b1,461725,333788,1.659389569717872,2.6705792365115837,3520
